n         , m         , perm_time , chol_time , nnz_pre   , spmm_time , trsm_time , pcg_time  , pcg_iters , nys_time
1000000   , 6906496   , 49.5525   , 17.9198   , 69545753  , 2.11221   , 21.6237   , 26.2763   , 70        , 26.5737   
1000000   , 10363237  , 58.216    , 28.7349   , 106625472 , 5.65376   , 55.7496   , 66.7704   , 105       , 67.0654   
1000000   , 13821261  , 49.7988   , 40.0144   , 142687910 , 7.61856   , 73.4676   , 86.2764   , 102       , 86.5739   
1000000   , 17273265  , 51.3269   , 48.6373   , 177025644 , 9.22129   , 86.1745   , 100.378   , 98        , 100.672   
1000000   , 20726958  , 48.7266   , 58.2395   , 210334746 , 10.9238   , 102.197   , 118.011   , 98        , 118.309   
1000000   , 24178190  , 50.6878   , 66.6622   , 243174848 , 12.5473   , 118.937   , 136.372   , 97        , 136.666   
1000000   , 27635076  , 48.345    , 77.6791   , 275892723 , 13.5454   , 127.491   , 145.711   , 93        , 146.034   
1000000   , 31083594  , 51.3548   , 86.4468   , 307910846 , 15.0573   , 142.253   , 161.937   , 93        , 162.232   
