n         , m         , perm_time , chol_time , nnz_pre   , spmm_time , trsm_time , pcg_time  , pcg_iters , nys_time
10000     , 46007     , 0.031231  , 0.060283  , 274252    , 0.064307  , 0.331506  , 0.438223  , 109       , 0.443783  
10000     , 69197     , 0.030335  , 0.087739  , 416307    , 0.080433  , 0.506319  , 0.635223  , 106       , 0.640649  
10000     , 92406     , 0.037096  , 0.115701  , 551378    , 0.079735  , 0.611106  , 0.733159  , 100       , 0.738309  
10000     , 115132    , 0.042075  , 0.138743  , 675387    , 0.096852  , 0.769126  , 0.910855  , 100       , 0.916341  
10000     , 138091    , 0.048473  , 0.16961   , 797468    , 0.102463  , 0.845915  , 0.988802  , 94        , 0.99393   
10000     , 161433    , 0.053418  , 0.192338  , 913015    , 0.127298  , 1.04776   , 1.21981   , 98        , 1.22506   
10000     , 183892    , 0.057963  , 0.216743  , 1023451   , 0.146511  , 1.14589   , 1.33552   , 97        , 1.3408    
10000     , 206988    , 0.060694  , 0.241804  , 1128274   , 0.183076  , 1.3889    , 1.61747   , 96        , 1.62282   
