n         , m         , perm_time , chol_time , nnz_pre   , spmm_time , trsm_time , pcg_time  , pcg_iters , nys_time
10000     , 46007     , 0.028071  , 0.059326  , 274252    , 0.03746   , 0.190212  , 0.267362  , 109       , 0.272366  
10000     , 69197     , 0.030616  , 0.085323  , 416307    , 0.042362  , 0.273664  , 0.355923  , 106       , 0.360764  
10000     , 92406     , 0.036294  , 0.121154  , 551378    , 0.049599  , 0.361051  , 0.452732  , 100       , 0.457625  
10000     , 115132    , 0.043002  , 0.144602  , 675387    , 0.05256   , 0.417446  , 0.511521  , 100       , 0.516674  
10000     , 138091    , 0.049169  , 0.166383  , 797468    , 0.061268  , 0.49155   , 0.594632  , 94        , 0.599593  
10000     , 161433    , 0.054393  , 0.192112  , 913015    , 0.072629  , 0.564181  , 0.680253  , 98        , 0.685085  
10000     , 183892    , 0.057589  , 0.217482  , 1023451   , 0.082393  , 0.659458  , 0.784298  , 97        , 0.78932   
10000     , 206988    , 0.061118  , 0.23506   , 1128274   , 0.090812  , 0.683214  , 0.81736   , 96        , 0.82238   
