n         , m         , perm_time , chol_time , nnz_pre   , spmm_time , trsm_time , pcg_time  , pcg_iters , nys_time
1000000   , 6909859   , 89.091    , 20.7163   , 69660893  , 3.91853   , 30.9299   , 44.3382   , 105       , 44.6487   
1000000   , 10362123  , 100.449   , 33.5714   , 107675936 , 6.07652   , 46.4619   , 62.3367   , 108       , 62.6486   
1000000   , 13816110  , 79.0757   , 46.5611   , 144851786 , 7.21587   , 57.711    , 74.2258   , 104       , 74.5414   
1000000   , 17268823  , 82.1173   , 59.478    , 181096373 , 8.393     , 69.6085   , 87.2215   , 103       , 87.5223   
1000000   , 20720040  , 79.9529   , 72.1246   , 217649000 , 9.15495   , 76.4208   , 93.4703   , 98        , 93.758    
1000000   , 24169788  , 75.7039   , 86.5526   , 254028072 , 11.2913   , 88.0785   , 106.228   , 98        , 106.523   
1000000   , 27627904  , 78.1668   , 98.4756   , 289341197 , 12.3536   , 97.3595   , 119.423   , 97        , 119.721   
1000000   , 31090893  , 79.1795   , 112.876   , 324371610 , 13.224    , 102.632   , 123.163   , 93        , 123.475   
1000000   , 34533117  , 85.0727   , 128.32    , 357901458 , 14.4442   , 113.422   , 135.972   , 93        , 136.281   
