n         , m         , perm_time , chol_time , nnz_pre   , spmm_time , trsm_time , pcg_time  , pcg_iters , nys_time
1000000   , 6909859   , 88.4289   , 20.9252   , 69660893  , 6.92823   , 54.6378   , 71.5604   , 105       , 71.9212   
1000000   , 10362123  , 99.2758   , 33.5967   , 107675936 , 10.9741   , 81.1285   , 102.182   , 108       , 102.542   
1000000   , 13816110  , 79.1854   , 46.5617   , 144851786 , 13.3814   , 100.603   , 124.817   , 104       , 125.165   
1000000   , 17268823  , 82.2001   , 59.7338   , 181096373 , 15.8641   , 121.688   , 147.499   , 103       , 147.853   
1000000   , 20720040  , 81.5376   , 73.3652   , 217649000 , 17.4377   , 133.714   , 158.653   , 98        , 158.993   
1000000   , 24169788  , 75.1079   , 85.6692   , 254028072 , 19.647    , 153.919   , 183.523   , 98        , 183.873   
1000000   , 27627904  , 76.9349   , 99.0594   , 289341197 , 22.2523   , 170.502   , 201.334   , 97        , 201.68    
1000000   , 31090893  , 78.4781   , 112.525   , 324371610 , 23.6752   , 178.427   , 211.81    , 93        , 212.151   
1000000   , 34533117  , 77.7288   , 128.344   , 357901458 , 25.7786   , 192.966   , 228.149   , 93        , 228.495   
