n         , m         , perm_time , chol_time , nnz_pre   , spmm_time , trsm_time , pcg_time  , pcg_iters , nys_time
1000000   , 6909859   , 88.4831   , 21.018    , 69660893  , 22.3634   , 172.409   , 204.097   , 105       , 204.598   
1000000   , 10362123  , 99.2121   , 33.7938   , 107675936 , 33.2268   , 264.67    , 307.675   , 108       , 308.175   
1000000   , 13816110  , 78.4769   , 46.1023   , 144851786 , 41.1687   , 327.619   , 378.144   , 104       , 378.639   
1000000   , 17268823  , 80.782    , 58.6954   , 181096373 , 49.252    , 392.584   , 451.17    , 103       , 451.66    
1000000   , 20720040  , 81.3045   , 73.2857   , 217649000 , 54.5191   , 432.004   , 495.142   , 98        , 495.629   
1000000   , 24169788  , 74.976    , 85.6835   , 254028072 , 62.6043   , 494.335   , 565.819   , 98        , 566.308   
1000000   , 27627904  , 77.1866   , 98.5675   , 289341197 , 70.4904   , 556.73    , 635.916   , 97        , 636.408   
1000000   , 31090893  , 78.0433   , 110.032   , 324371610 , 75.4793   , 571.594   , 654.921   , 94        , 655.408   
