n         , m         , perm_time , chol_time , nnz_pre   , spmm_time , trsm_time , pcg_time  , pcg_iters , nys_time
1000000   , 6909859   , 144.941   , 39.3792   , 69660893  , 15.3585   , 503.188   , 532.498   , 106       , 533.742   
1000000   , 10362123  , 292.678   , 65.963    , 107675936 , 21.6239   , 696.699   , 732.18    , 104       , 733.162   
1000000   , 13816110  , 191.782   , 93.2897   , 144851786 , 29.4694   , 1120.75   , 1165.38   , 108       , 1166.5    
1000000   , 17268823  , 231.269   , 132.074   , 181096373 , 35.7682   , 1237.07   , 1290.19   , 103       , 1291.22   
1000000   , 20720040  , 182.076   , 150.644   , 217649000 , 43.1136   , 1302.13   , 1362.53   , 102       , 1363.57   
1000000   , 24169788  , 217.359   , 182.123   , 254028072 , 46.0828   , 1595.79   , 1659.87   , 99        , 1660.91   
1000000   , 27627904  , 209.537   , 204.481   , 289341197 , 51.5062   , 1850.71   , 1921.01   , 97        , 1922.04   
1000000   , 31090893  , 212.53    , 234.995   , 324371610 , 56.9458   , 1623.07   , 1696.88   , 97        , 1697.97   
1000000   , 34533117  , 179.609   , 272.886   , 357901458 , 63.8965   , 1917.45   , 1995.99   , 95        , 1997.06   
