n         , m         , perm_time , chol_time , nnz_pre   , spmm_time , trsm_time , pcg_time  , pcg_iters , nys_time
1000000   , 6909859   , 117.565   , 39.5085   , 69660893  , 67.5464   , 479.692   , 568.71    , 106       , 570.131   
1000000   , 10362123  , 304.863   , 62.9495   , 107675936 , 99.949    , 734.293   , 855.225   , 105       , 856.539   
1000000   , 13816110  , 174.265   , 81.4458   , 144851786 , 156.9     , 973.885   , 1151.68   , 104       , 1152.99   
1000000   , 17268823  , 176.959   , 102.929   , 181096373 , 196.395   , 1204.47   , 1421.43   , 102       , 1422.74   
1000000   , 20720040  , 219.421   , 122.096   , 217649000 , 208.942   , 1294.02   , 1523.56   , 102       , 1524.89   
1000000   , 24169788  , 100.825   , 142.89    , 254028072 , 196.942   , 1191.44   , 1408.28   , 99        , 1409.59   
1000000   , 27627904  , 177.892   , 171.765   , 289341197 , 289.254   , 1785.51   , 2094.01   , 97        , 2095.29   
1000000   , 31090893  , 181.257   , 193.062   , 324371610 , 238.898   , 1979.54   , 2237.67   , 97        , 2238.98   

