n         , m         , perm_time , chol_time , nnz_pre   , spmm_time , trsm_time , pcg_time  , pcg_iters , nys_time
1000000   , 6909859   , 109.632   , 39.6352   , 69660893  , 25.5898   , 517.507   , 559.663   , 106       , 560.795   
1000000   , 10362123  , 309.228   , 66.2086   , 107675936 , 33.123    , 764.802   , 814.856   , 105       , 815.947   
1000000   , 13816110  , 185.94    , 89.4761   , 144851786 , 45.138    , 994.516   , 1057.64   , 102       , 1058.7    
1000000   , 17268823  , 232.599   , 116.583   , 181096373 , 52.9667   , 1254.88   , 1327.39   , 103       , 1328.49   
1000000   , 20720040  , 198.608   , 141.23    , 217649000 , 60.2876   , 1423.02   , 1503.86   , 100       , 1504.9    
1000000   , 24169788  , 204.288   , 165.276   , 254028072 , 66.2621   , 1509.03   , 1595.48   , 100       , 1596.52   
1000000   , 27627904  , 212.846   , 192.831   , 289341197 , 77.8708   , 1880.28   , 1979      , 98        , 1980.05   
1000000   , 31090893  , 207.969   , 218.208   , 324371610 , 88.2945   , 2040.06   , 2149.7    , 97        , 2150.86   
1000000   , 34533117  , 155.945   , 322.329   , 357901458 , 116.487   , 1905.06   , 2041.51   , 95        , 2042.6    
