n         , m         , perm_time , chol_time , nnz_pre   , spmm_time , trsm_time , pcg_time  , pcg_iters , nys_time
1000000   , 6909859   , 97.7204   , 69.8678   , 66892419  , 12.8712   , 302.16    , 327.461   , 108       , 328.191   
1000000   , 10362123  , 119.376   , 127.613   , 103500368 , 21.6369   , 464.19    , 498.183   , 108       , 498.752   
1000000   , 13816110  , 162.854   , 221.827   , 139141972 , 22.0036   , 431.743   , 464.381   , 104       , 464.94    
1000000   , 17268823  , 97.8837   , 272.5     , 172486838 , 26.4747   , 561.34    , 598.419   , 103       , 598.877   
1000000   , 20720040  , 96.9343   , 348.194   , 204117654 , 28.9277   , 560.057   , 599.224   , 98        , 599.774   
1000000   , 24169788  , 89.6539   , 440.313   , 235246589 , 28.2591   , 665.947   , 703.727   , 98        , 704.193   
1000000   , 27627904  , 91.7329   , 527.836   , 266117269 , 36.6417   , 785.609   , 832.459   , 97        , 832.957   
1000000   , 31090893  , 94.7697   , 627.726   , 297547165 , 62.8191   , 885.623   , 959.525   , 93        , 959.91    
1000000   , 34533117  , 93.1755   , 737.085   , 328376666 , 65.3359   , 946.838   , 1022.8    , 93        , 1023.22   
