n         , m         , perm_time , chol_time , nnz_pre   , spmm_time , trsm_time , pcg_time  , pcg_iters , nys_time
1000000   , 6909859   , 97.99     , 20.8119   , 69660893  , 9.01871   , 72.7528   , 92.5817   , 105       , 93.3325   
1000000   , 10362123  , 108.642   , 34.1435   , 107675936 , 14.9963   , 108.963   , 134.852   , 108       , 135.37    
1000000   , 13816110  , 84.3725   , 45.811    , 144851786 , 17.1495   , 133.541   , 161.227   , 104       , 161.847   
1000000   , 17268823  , 86.6281   , 60.5241   , 181096373 , 19.9279   , 156.635   , 187.337   , 103       , 187.869   
1000000   , 20720040  , 84.5598   , 72.314    , 217649000 , 22.4881   , 181.371   , 213.555   , 98        , 214.023   
1000000   , 24169788  , 79.0878   , 87.7546   , 254028072 , 24.9663   , 198.856   , 234.178   , 98        , 234.815   
1000000   , 27627904  , 81.2321   , 100.346   , 289341197 , 27.7259   , 226.63    , 264.218   , 97        , 264.761   
1000000   , 31090893  , 81.4781   , 113.104   , 324371610 , 28.7767   , 238.379   , 276.672   , 93        , 277.212   
