n         , m         , perm_time , chol_time , nnz_pre   , spmm_time , trsm_time , pcg_time  , pcg_iters , nys_time
1000000   , 6909859   , 97.0946   , 69.3415   , 66892419  , 40.5135   , 202.639   , 254.664   , 108       , 255.314   
1000000   , 10362123  , 121.267   , 124.491   , 103500368 , 58.3857   , 324.3     , 394.445   , 108       , 395.049   
1000000   , 13816110  , 81.6781   , 186.049   , 139141972 , 85.7683   , 369.331   , 465.925   , 104       , 466.52    
1000000   , 17268823  , 93.9421   , 258.419   , 172486838 , 105.567   , 494.033   , 610.647   , 103       , 611.253   
1000000   , 20720040  , 93.2248   , 335.001   , 204117654 , 118.671   , 509.22    , 638.333   , 98        , 638.945   
1000000   , 24169788  , 86.6831   , 418.764   , 235246589 , 137.036   , 642.753   , 790.34    , 98        , 790.933   
1000000   , 27627904  , 90.2286   , 509.933   , 266117269 , 134.275   , 586.07    , 730.388   , 97        , 730.984   
1000000   , 31090893  , 92.7046   , 607.945   , 297547165 , 144.789   , 695.908   , 850.395   , 93        , 851.017   
1000000   , 34533117  , 77.9772   , 721.37    , 328376666 , 171.731   , 699.903   , 881.254   , 93        , 881.876   
