n         , m         , perm_time , chol_time , nnz_pre   , spmm_time , trsm_time , pcg_time  , pcg_iters , nys_time
1000000   , 6909859   , 95.386    , 69.6126   , 66892419  , 28.5518   , 185.881   , 225.01    , 108       , 225.67    
1000000   , 10362123  , 119.533   , 127.806   , 103500368 , 40.2112   , 320.787   , 371.929   , 108       , 372.489   
1000000   , 13816110  , 91.3385   , 192.956   , 139141972 , 50.8926   , 418.201   , 479.944   , 104       , 480.589   
1000000   , 17268823  , 99.106    , 272.955   , 172486838 , 59.371    , 502.801   , 572.995   , 103       , 573.583   
1000000   , 20720040  , 93.8785   , 347.924   , 204117654 , 66.2198   , 512.873   , 588.876   , 98        , 589.388   
1000000   , 24169788  , 101.747   , 431.191   , 235246589 , 82.2376   , 677.38    , 770.072   , 98        , 770.588   
1000000   , 27627904  , 93.1028   , 521.96    , 266117269 , 92.8474   , 696.899   , 800.271   , 97        , 800.789   
1000000   , 31090893  , 94.4036   , 626.049   , 297547165 , 91.1637   , 695.97    , 797.49    , 93        , 798.041   
1000000   , 34533117  , 91.7206   , 725.455   , 328376666 , 103.12    , 884.502   , 997.385   , 93        , 997.863   
