n         , m         , perm_time , chol_time , nnz_pre   , spmm_time , trsm_time , pcg_time  , pcg_iters , nys_time
1000000   , 6909859   , 145.369   , 39.7687   , 69660893  , 15.0077   , 103.339   , 131.418   , 106       , 132.757   
1000000   , 10362123  , 159.655   , 66.393    , 107675936 , 19.6781   , 153.207   , 185.606   , 104       , 186.572   
1000000   , 13816110  , 129.802   , 92.581    , 144851786 , 24.9365   , 198.521   , 236.144   , 102       , 237.133   
1000000   , 17268823  , 133.884   , 119.705   , 181096373 , 33.6635   , 286.557   , 333.774   , 105       , 334.902   
1000000   , 20720040  , 136.761   , 148.555   , 217649000 , 40.5765   , 317.071   , 370.609   , 102       , 371.553   
1000000   , 24169788  , 108.197   , 171.483   , 254028072 , 41.7923   , 344.424   , 398.777   , 100       , 399.784   
1000000   , 27627904  , 126.248   , 199.722   , 289341197 , 49.7723   , 416.932   , 479.348   , 97        , 480.304   
1000000   , 31090893  , 109.017   , 213.997   , 324371610 , 54.8081   , 465.44    , 532.892   , 97        , 533.944   
1000000   , 34533117  , 111.594   , 267.238   , 357901458 , 57.8941   , 496.85    , 567.963   , 95        , 569.186   
