n         , m         , perm_time , chol_time , nnz_pre   , spmm_time , trsm_time , pcg_time  , pcg_iters , nys_time
1000000   , 6909859   , 120.797   , 40.0935   , 69660893  , 26.2491   , 185.661   , 226.606   , 106       , 227.714   
1000000   , 10362123  , 166.508   , 68.3075   , 107675936 , 36.9498   , 285.41    , 336.955   , 104       , 338.034   
1000000   , 13816110  , 110.392   , 94.14     , 144851786 , 48.4163   , 365.898   , 430.828   , 104       , 432.036   
1000000   , 17268823  , 132.799   , 122.271   , 181096373 , 56.793    , 507.592   , 580.203   , 103       , 581.356   
1000000   , 20720040  , 131.259   , 148.327   , 217649000 , 68.5168   , 628.91    , 713.022   , 100       , 714.14    
1000000   , 24169788  , 121.458   , 173.337   , 254028072 , 75.3503   , 631.515   , 721.638   , 99        , 722.814   
1000000   , 27627904  , 126.842   , 185.037   , 289341197 , 85.2353   , 741.484   , 841.941   , 97        , 842.986   
1000000   , 31090893  , 127.394   , 224.232   , 324371610 , 85.9052   , 783.451   , 884.208   , 97        , 885.222   
1000000   , 34533117  , 130.009   , 257.269   , 357901458 , 101.824   , 902.545   , 1020.32   , 97        , 1021.38   
