n         , m         , perm_time , chol_time , nnz_pre   , spmm_time , trsm_time , pcg_time  , pcg_iters , nys_time
1000000   , 6909859   , 117.666   , 39.3333   , 69660893  , 68.5369   , 506.095   , 595.938   , 106       , 597.354   
1000000   , 10362123  , 163.398   , 65.7821   , 107675936 , 95.5428   , 756.098   , 873.012   , 105       , 874.335   
1000000   , 13816110  , 99.8271   , 83.9566   , 144851786 , 122.471   , 1004.5    , 1148.16   , 106       , 1149.47   
1000000   , 17268823  , 178.312   , 112.112   , 181096373 , 149.734   , 1293.76   , 1464.92   , 104       , 1466.25   
1000000   , 20720040  , 105.495   , 132.263   , 217649000 , 174.661   , 1511.11   , 1706.79   , 102       , 1708.12   
1000000   , 24169788  , 103.002   , 156.791   , 254028072 , 192.087   , 1663.85   , 1876.1    , 99        , 1877.44   
1000000   , 27627904  , 105.107   , 179.989   , 289341197 , 218.181   , 1980.89   , 2219      , 97        , 2220.32   
1000000   , 31090893  , 107.885   , 206.768   , 324371610 , 240.943   , 2022.36   , 2283.02   , 97        , 2284.32   
1000000   , 34533117  , 106.051   , 227.695   , 357901458 , 258.246   , 2214.2    , 2491.93   , 95        , 2493.24   
