n         , m         , perm_time , chol_time , nnz_pre   , spmm_time , trsm_time , pcg_time  , pcg_iters , nys_time
1000000   , 6909859   , 89.4849   , 21.1576   , 69660893  , 8.01874   , 200.183   , 218.11    , 105       , 218.479   
1000000   , 10362123  , 106.043   , 31.7532   , 107675936 , 11.1546   , 321.093   , 341.713   , 108       , 342.071   
1000000   , 13816110  , 84.7556   , 42.5608   , 144851786 , 13.145    , 418.2     , 439.818   , 104       , 440.179   
1000000   , 17268823  , 87.5637   , 54.3574   , 181096373 , 19.0398   , 522.377   , 550.317   , 103       , 550.679   
1000000   , 20720040  , 86.016    , 66.8567   , 217649000 , 16.1761   , 531.152   , 558.238   , 98        , 558.584   
1000000   , 24169788  , 74.2796   , 78.7731   , 254028072 , 18.4676   , 639.154   , 665.956   , 98        , 666.301   
1000000   , 27627904  , 85.4567   , 89.0733   , 289341197 , 19.1765   , 769.595   , 800.267   , 97        , 800.634   
1000000   , 31090893  , 85.9222   , 103.557   , 324371610 , 21.7137   , 788.882   , 819.82    , 93        , 820.166   
1000000   , 34533117  , 82.644    , 113.718   , 357901458 , 24.2363   , 856.995   , 890.82    , 93        , 891.18    
