n         , m         , perm_time , chol_time , nnz_pre   , spmm_time , trsm_time , pcg_time  , pcg_iters , nys_time
1000000   , 6909859   , 88.515    , 21.2078   , 69660893  , 42.7422   , 199.808   , 251.953   , 105       , 252.456   
1000000   , 10362123  , 107.147   , 31.7662   , 107675936 , 65.228    , 325.521   , 400.616   , 108       , 401.106   
1000000   , 13816110  , 84.2672   , 42.0271   , 144851786 , 87.5636   , 416.532   , 513.465   , 104       , 513.954   
1000000   , 17268823  , 81.7559   , 53.9964   , 181096373 , 107.239   , 546.885   , 663.438   , 103       , 663.928   
1000000   , 20720040  , 87.7309   , 65.8631   , 217649000 , 120.808   , 571.447   , 700.699   , 98        , 701.192   
1000000   , 24169788  , 76.9333   , 77.8279   , 254028072 , 138.388   , 646.107   , 793.152   , 98        , 793.642   
1000000   , 27627904  , 84.1336   , 89.4001   , 289341197 , 161.289   , 657.597   , 827.182   , 97        , 827.671   
1000000   , 31090893  , 84.8215   , 101.024   , 324371610 , 169.293   , 744.63    , 921.813   , 93        , 922.303   
1000000   , 34533117  , 83.2829   , 114.478   , 357901458 , 195.121   , 778.17    , 981.046   , 93        , 981.536   
