n         , m         , perm_time , chol_time , nnz_pre   , spmm_time , trsm_time , pcg_time  , pcg_iters , nys_time
1000000   , 6909859   , 89.9084   , 21.2493   , 69660893  , 4.64414   , 199.509   , 213.349   , 105       , 213.67    
1000000   , 10362123  , 106.799   , 31.6797   , 107675936 , 6.30898   , 322.78    , 339.026   , 108       , 339.314   
1000000   , 13816110  , 84.8602   , 42.7663   , 144851786 , 7.43739   , 413.842   , 430.039   , 104       , 430.333   
1000000   , 17268823  , 88.9873   , 54.9358   , 181096373 , 8.77806   , 517.274   , 536.14    , 103       , 536.446   
1000000   , 20720040  , 86.711    , 66.4328   , 217649000 , 9.70508   , 579.651   , 598.316   , 98        , 598.611   
1000000   , 24169788  , 82.1032   , 79.3206   , 254028072 , 10.8847   , 676.099   , 695.807   , 98        , 696.101   
1000000   , 27627904  , 84.4942   , 90.28     , 289341197 , 12.2561   , 764.22    , 785.495   , 97        , 785.789   
1000000   , 31090893  , 86.203    , 102.254   , 324371610 , 13.1819   , 806.237   , 827.974   , 93        , 828.278   
1000000   , 34533117  , 83.1072   , 114.405   , 357901458 , 14.5243   , 891.257   , 915.277   , 93        , 915.572   
